0,ID,UPLINK_MAX_THRP,ROAM_ALLOW_DIALUP,APN,SYSTEM_MODE,SIM_STATUS,SERVICE_STATUS,ROAM_STATUS,UPSTREAM_MAX_RATE,DEVICE_ID,BANDWIDTH,TAC,PROTOCOL,SIGNAL_QUALITY,SERVICE_DOMAIN,RSRP,SINR,RSSI,RSRQ,SYS_SUB_MODE,TIMESTAMP,OperatorName,PLMN,NetworkMode,ConnectedBand,DLFrequency,ULFrequency,CellID,PCI,BEST_CHANNEL,CREATED_DATE
50,1.1259E+15,1945322Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113006338,DL:20000 UL:20000,31300,,58,CS_PS_Capable,-83dBm,-12dB,-59dBm,-15.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,112380940,139,,22-06-2026 13:33
51,1.1259E+15,174524Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25219002432,DL:20000 UL:20000,41300,,48,CS_PS_Capable,-93dBm,11dB,-62dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110394676,285,,22-06-2026 13:33
52,1.1259E+15,249131Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28017550,DL:20000 UL:20000,45063,,50,CS_PS_Capable,-91dBm,0dB,-57dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,109016845,481,,22-06-2026 13:33
53,1.1259E+15,0Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C24000085,DL:20000 UL:20000,45027,,50,CS_PS_Capable,-89dBm,3dB,-60dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26600,26600,112323125,22,,22-06-2026 13:33
54,1.1259E+15,224590Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28015999,DL:20000 UL:20000,31303,,64,CS_PS_Capable,-77dBm,-4dB,-56dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110362123,218,,22-06-2026 13:33
55,1.1259E+15,17601Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204006327,DL:20000 UL:20000,51924,,44,CS_PS_Capable,-97dBm,0dB,-76dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,103349516,412,,22-06-2026 13:33
56,1.1259E+15,134030Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202006638,DL:20000 UL:20000,45025,,71,CS_PS_Capable,-70dBm,5dB,-55dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110214923,162,,22-06-2026 13:33
57,1.1259E+15,0Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004262,DL:20000 UL:20000,0,,31,CS_PS_Capable,-110dBm,-11dB,-71dBm,-19.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,0,18150,17200,110364940,0,,22-06-2026 13:33
58,1.1259E+15,667336Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28018579,DL:20000 UL:20000,45021,,43,CS_PS_Capable,-98dBm,5dB,-67dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,111481879,178,,22-06-2026 13:33
59,1.1259E+15,190654Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K25607003405,DL:20000 UL:20000,41321,,41,CS_PS_Capable,-101dBm,9dB,-69dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112001046,484,,22-06-2026 13:33
60,1.1259E+15,152890Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C24002144,DL:20000 UL:20000,41922,,56,CS_PS_Capable,-85dBm,20dB,-69dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,104274967,107,,22-06-2026 13:33
61,1.1259E+15,816 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-B535-235a-64YUT26210007324,DL:20000 UL:20000,41301,,59,CS_PS_Capable,-82dBm,17dB,-57dBm,-5.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110477335,397,,22-06-2026 13:33
62,1.1259E+15,412Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003858,DL:15000 UL:15000,41922,,48,CS_PS_Capable,-93dBm,13dB,-77dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21625,19725,103080725,57,,22-06-2026 13:33
63,1.1259E+15,18947Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925005132,DL:20000 UL:20000,45212,,46,CS_PS_Capable,-95dBm,7dB,-65dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,109958669,333,,22-06-2026 13:33
64,1.1259E+15,62875Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204008599,DL:20000 UL:20000,11300,,47,CS_PS_Capable,-94dBm,14dB,-67dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110403605,469,,22-06-2026 13:33
65,1.1259E+15,451Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C26002144,DL:20000 UL:20000,51924,,52,CS_PS_Capable,-89dBm,7dB,-72dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,103349525,411,,22-06-2026 13:33
66,1.1259E+15,148414Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04009344,DL:20000 UL:20000,41322,,31,CS_PS_Capable,-110dBm,-2dB,-73dBm,-15.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110854412,331,,22-06-2026 13:33
67,1.1259E+15,257279Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003724,DL:20000 UL:20000,31303,,64,CS_PS_Capable,-77dBm,13dB,-62dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110585099,213,,22-06-2026 13:33
68,1.1259E+15,178636Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204009410,DL:20000 UL:20000,21301,,61,CS_PS_Capable,-80dBm,2dB,-50dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112088597,103,,22-06-2026 13:33
69,1.1259E+15,350197Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127003144,DL:20000 UL:20000,41324,,44,CS_PS_Capable,-97dBm,17dB,-67dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,110878249,6,,22-06-2026 13:33
70,1.1259E+15,111206Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113004218,DL:20000 UL:20000,41321,,40,CS_PS_Capable,-99dBm,-1dB,-65dBm,-14.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110907413,187,,22-06-2026 13:33
71,1.1259E+15,221679Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S23C29008736,DL:20000 UL:20000,31300,,64,CS_PS_Capable,-77dBm,15dB,-49dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,111829290,36,,22-06-2026 13:33
72,1.1259E+15,136869Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127004705,DL:20000 UL:20000,21305,,48,CS_PS_Capable,-93dBm,22dB,-65dBm,-5.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110404915,234,,22-06-2026 13:33
73,1.1259E+15,106951Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT22C08007918,DL:20000 UL:20000,21901,,49,CS_PS_Capable,-92dBm,12dB,-73dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,,,,22-06-2026 13:33
74,1.1259E+15,81384Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28008527,DL:20000 UL:20000,45212,,52,CS_PS_Capable,-89dBm,14dB,-69dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,108569357,258,,22-06-2026 13:33
75,1.1259E+15,74743Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K25607002441,DL:20000 UL:20000,41901,,58,CS_PS_Capable,-85dBm,-2dB,-50dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110498869,102,,22-06-2026 13:33
76,1.1259E+15,199947Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113000475,DL:20000 UL:20000,41324,,51,CS_PS_Capable,-90dBm,25dB,-62dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110906163,75,,22-06-2026 13:33
77,1.1259E+15,159432Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113011341,DL:20000 UL:20000,45204,,61,CS_PS_Capable,-80dBm,0dB,-52dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,108603148,249,,22-06-2026 13:33
78,1.1259E+15,146749Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28005940,DL:20000 UL:20000,45029,,51,CS_PS_Capable,-90dBm,-2dB,-70dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110170893,282,,22-06-2026 13:33
79,1.1259E+15,108053Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000010,DL:20000 UL:20000,45212,,37,CS_PS_Capable,-104dBm,1dB,-86dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,108569355,259,,22-06-2026 13:33
80,1.1259E+15,178755Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202006607,DL:20000 UL:20000,45023,,71,CS_PS_Capable,-70dBm,4dB,-53dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110826510,51,,22-06-2026 13:33
81,1.1259E+15,46069Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204006144,DL:20000 UL:20000,21300,,40,CS_PS_Capable,-101dBm,12dB,-73dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,111920691,287,,22-06-2026 13:33
82,1.1259E+15,93602Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04002818,DL:20000 UL:20000,31901,,33,CS_PS_Capable,-109dBm,-4dB,-74dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110643991,335,,22-06-2026 13:33
83,1.1259E+15,340137Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004107,DL:20000 UL:20000,31303,,48,CS_PS_Capable,-93dBm,-2dB,-60dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110627350,371,,22-06-2026 13:33
84,1.1259E+15,167510Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24117004636,DL:20000 UL:20000,45025,,62,CS_PS_Capable,-79dBm,5dB,-42dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,112338188,36,,22-06-2026 13:33
85,1.1259E+15,205916Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208003215,DL:20000 UL:20000,21901,,36,CS_PS_Capable,-105dBm,3dB,-84dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110670349,253,,22-06-2026 13:33
86,1.1259E+15,793882Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000862,DL:20000 UL:20000,41321,,64,CS_PS_Capable,-77dBm,17dB,-46dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112152341,4,,22-06-2026 13:33
87,1.1259E+15,159585Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28014241,DL:20000 UL:20000,21301,,49,CS_PS_Capable,-92dBm,2dB,-62dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112133910,494,,22-06-2026 13:33
88,1.1259E+15,146241Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127011338,DL:20000 UL:20000,11301,,53,CS_PS_Capable,-88dBm,10dB,-59dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,112604940,75,,22-06-2026 13:33
89,1.1259E+15,176469Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127010107,DL:15000 UL:15000,41922,,38,CS_PS_Capable,-103dBm,4dB,-88dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21625,19725,103008789,414,,22-06-2026 13:33
90,1.1259E+15,94 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-E5783-230b-4HJ7S25910000857,DL:20000 UL:20000,21305,,49,CS_PS_Capable,-92dBm,15dB,-65dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110491414,26,,22-06-2026 13:33
91,1.1259E+15,82977Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28012318,DL:20000 UL:20000,31908,,32,CS_PS_Capable,-109dBm,6dB,-82dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110600470,408,,22-06-2026 13:33
92,1.1259E+15,930655Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004562,DL:20000 UL:20000,41322,,43,CS_PS_Capable,-98dBm,2dB,-65dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110912011,23,,22-06-2026 13:33
93,1.1259E+15,183101Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04003199,DL:20000 UL:20000,31300,,55,CS_PS_Capable,-85dBm,-7dB,-48dBm,-16.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110639629,194,,22-06-2026 13:33
94,1.1259E+15,235298Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28010450,DL:20000 UL:20000,31908,,51,CS_PS_Capable,-90dBm,-2dB,-71dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110578956,80,,22-06-2026 13:33
95,1.1259E+15,1569580Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113008696,DL:20000 UL:20000,41903,,66,CS_PS_Capable,-75dBm,29dB,-45dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,110426923,50,,22-06-2026 13:33
96,1.1259E+15,74797Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202005141,DL:20000 UL:20000,31908,,84,CS_PS_Capable,-56dBm,8dB,-38dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110486285,323,,22-06-2026 13:33
97,1.1259E+15,155529Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04010458,DL:20000 UL:20000,21301,,60,CS_PS_Capable,-81dBm,18dB,-62dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110508043,180,,22-06-2026 13:33
98,1.1259E+15,372639Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127007540,DL:20000 UL:20000,41901,,45,CS_PS_Capable,-94dBm,9dB,-64dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110473268,50,,22-06-2026 13:33
99,1.1259E+15,108140Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213007766,DL:20000 UL:20000,45023,,54,CS_PS_Capable,-87dBm,15dB,-59dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26600,26600,110166836,28,,22-06-2026 13:33
